movieId,name,description
1,Toy Story (1995),Toy Story is a 1995 American computer-animated buddy comedy film produced by Pixar Animation Studios and released by Walt Disney Pictures. The feature film directorial debut of John Lasseter it was the first entirely computer-animated feature film as well as the first feature film from Pixar. The screenplay was written by Joss Whedon, Andrew Stanton Joel Cohen, and Alec Sokolow from a story by Lasseter Stanton Pete Docter and Joe Ranft. The film features music by Randy Newman was produced by Bonnie Arnold and Ralph Guggenheim, and was executive-produced by Steve Jobs and Edwin Catmull. It features the voices of Tom Hanks Tim Allen Don Rickles Wallace Shawn John Ratzenberger Jim Varney Annie Potts R. Lee Ermey John Morris Laurie Metcalf and Erik von Detten. Taking place in a world where anthropomorphic toys come to life when humans are not present the plot focuses on the relationship between an old-fashioned pull-string cowboy doll named Woody and an astronaut action figure, Buzz Lightyear as they evolve from rivals competing for the affections of their owner Andy Davis to friends who work together to be reunited with him after being separated from him.
2,Jumanji (1995),Adventure|Children|Fantasy
3,Grumpier Old Men (1995),Comedy|Romance
4,Waiting to Exhale (1995),Comedy|Drama|Romance
5,Father of the Bride Part II (1995),Comedy
6,Heat (1995),Action|Crime|Thriller
7,Sabrina (1995),Comedy|Romance
8,Tom and Huck (1995),Adventure|Children
9,Sudden Death (1995),Action
10,GoldenEye (1995),Action|Adventure|Thriller
